Code,Name,Category Code,Unit,Cost,Member Price,Non Member Price,Alert Quantity,HSN/SAC,Pers, Tax Rate Code,Tax Method,track quantit,type,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
1250,GLOBAL COLOURING-NON AMMONIA - S,WOMEN,1,0,3500,3500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1251,GLOBAL COLOURING-NON AMMONIA-M,WOMEN,1,0,4500,4500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1252,GLOBAL COLOURING-NON AMMONIA-L,WOMEN,1,0,5500,5500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1253,FASHION - S,WOMEN,1,0,2500,2500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1254,FASHION-M,WOMEN,1,0,3500,3500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1255,FASHION-L,WOMEN,1,0,4500,4500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1256,PARTIAL HEAD HIGHLIGHT - S,WOMEN,1,0,2500,2500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1257,PARTIAL HEAD HIGHLIGHT-M,WOMEN,1,0,3000,3000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1258,PARTIAL HEAD HIGHLIGHT-L,WOMEN,1,0,3500,3500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1259,FULL HEAD  HIGHLIGHTS - S,WOMEN,1,0,4500,4500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1260,FULL HEAD  HIGHLIGHTS-M,WOMEN,1,0,5500,5500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1261,FULL HEAD  HIGHLIGHTS-L,WOMEN,1,0,6500,6500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1262,CREATIVE COLOUR,WOMEN,1,0,0,0,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1263,HAIR SPA - S,WOMEN,1,0,1300,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1264,HAIR SPA-M,WOMEN,1,0,1500,1500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1265,HAIR SPA-L,WOMEN,1,0,1700,1700,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1266,Anti-Dandruff Treatment - S,WOMEN,1,0,2000,2000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1267,Anti-Dandruff Treatment-M,WOMEN,1,0,2200,2200,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1268,Anti-Dandruff Treatment-L,WOMEN,1,0,2400,2400,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1269,Anti-Hairfall Treatment - S,WOMEN,1,0,2000,2000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1270,Anti-Hairfall Treatment-M,WOMEN,1,0,2200,2200,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1271,Anti-Hairfall Treatment-L,WOMEN,1,0,2400,2400,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1272,SMOOTHENING - S,WOMEN,1,0,7000,7000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1273,SMOOTHENING-M,WOMEN,1,0,8000,8000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1274,SMOOTHENING-L,WOMEN,1,0,9000,9000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1275,M-BOTOX - S,WOMEN,1,0,7000,7000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1276,M-BOTOX-M,WOMEN,1,0,8000,8000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1277,M-BOTOX-L,WOMEN,1,0,9000,9000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1278,M-PLASTIA - S,WOMEN,1,0,7000,7000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1279,M-PLASTIA-M,WOMEN,1,0,8000,8000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1280,M-PLASTIA-L,WOMEN,1,0,9000,9000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1281,M-KERATIN - S,WOMEN,1,0,7000,7000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1282,M-KERATIN-M,WOMEN,1,0,8000,8000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1283,M-KERATIN-L,WOMEN,1,0,9000,9000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1284,KERATIN  REFILING TREATMENT - S,WOMEN,1,0,3000,3000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1285,KERATIN  REFILING TREATMENT-M,WOMEN,1,0,3500,3500,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1286,KERATIN  REFILING TREATMENT-L,WOMEN,1,0,4000,4000,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1287,TRIBOND PEPTIDE NOURISHING DAMAGED HAIR - S,WOMEN,1,0,1300,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1288,TRIBOND PEPTIDE NOURISHING DAMAGED HAIR-M,WOMEN,1,0,1600,1600,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1289,TRIBOND PEPTIDE NOURISHING DAMAGED HAIR-L,WOMEN,1,0,1900,1900,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1290,TRIBOND HYALURONIC REHYDRATING NORMAL TO DRY HAIR - S,WOMEN,1,0,1300,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1291,TRIBOND HYALURONIC REHYDRATING NORMAL TO DRY HAIR-M,WOMEN,1,0,1600,1600,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1292,TRIBOND HYALURONIC REHYDRATING NORMAL TO DRY HAIR-L,WOMEN,1,0,1900,1900,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1293,TRIBOND Ph4.5 ZERO FADE COLOURED HAIR - S,WOMEN,1,0,1300,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1294,TRIBOND Ph4.5 ZERO FADE COLOURED HAIR-M,WOMEN,1,0,1600,1600,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1295,TRIBOND Ph4.5 ZERO FADE COLOURED HAIR-L,WOMEN,1,0,1900,1900,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1296,TRIBOND COLLAGEN VOLUME FINE HAIR - S,WOMEN,1,0,1300,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1297,TRIBOND COLLAGEN VOLUME FINE HAIR-M,WOMEN,1,0,1600,1600,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1298,TRIBOND COLLAGEN VOLUME FINE HAIR-L,WOMEN,1,0,1900,1900,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1299,TRIBOND KERATIN FRIZZ- CONTROL COARSE OR UNMANAGEABLE HAIR-L,WOMEN,1,0,1900,1900,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1300,TRIBOND KERATIN FRIZZ- CONTROL COARSE OR UNMANAGEABLE HAIR - S,WOMEN,1,0,1300,1300,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1301,TRIBOND KERATIN FRIZZ- CONTROL COARSE OR UNMANAGEABLE HAIR-M,WOMEN,1,0,1600,1600,,,Nos,GST18,INCLUSIVE,,service,HAIR (W),,,,,,,
1302,Half arms,WOMEN,1,0,450,450,,,Nos,GST18,INCLUSIVE,,service,FLAVOURED,,,,,,,
1303,Full arms,WOMEN,1,0,550,550,,,Nos,GST18,INCLUSIVE,,service,FLAVOURED,,,,,,,
1304,Under Arms,WOMEN,1,0,200,200,,,Nos,GST18,INCLUSIVE,,service,FLAVOURED,,,,,,,
1305,Half leg,WOMEN,1,0,650,650,,,Nos,GST18,INCLUSIVE,,service,FLAVOURED,,,,,,,
1306,Full leg,WOMEN,1,0,750,750,,,Nos,GST18,INCLUSIVE,,service,FLAVOURED,,,,,,,
